element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mn,2,"=""200.0520""","=""0.0006""","=""200.05202""","=""0.00020""","=""49970.9""","=""80""","=""""",,"=""31761.21""","=""81732.02""","=""3d6""","=""a 3F""","=""2""","=""3d5.(2D).4p""","=""x 3D*""","=""1""",,"=""""","=""L562""",
Mn,2,"=""200.191""","=""0.002""","=""200.1896""","=""0.0004""","=""49936.3""","=""60H""","=""1.8e+08""",D,"=""59537.455""","=""109473.92""","=""3d6""","=""c 1G""","=""4""","=""3d5.(b 2G).4p""","=""v 1G*""","=""4""",,"=""c88""","=""L562""",
Mn,2,"=""200.335""","=""0.002""","=""200.33472""","=""0.00008""","=""49900.3""","=""20H""","=""""",,"=""14593.835""","=""64494.14""","=""3d6""","=""a 5D""","=""3""","=""3d5.(4G).4p""","=""z 5G*""","=""4""",,"=""""","=""L562""",
Mn,1,"=""200.385""","=""""","=""""","=""""","=""49887.8""","=""18000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Mn,2,"=""200.423""","=""0.0015""","=""200.42432""","=""0.00016""","=""49878.1""","=""1""","=""""",,"=""32857.27""","=""82735.27""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(4F).4p""","=""x 5D*""","=""2""",,"=""""","=""L562""",
Mn,2,"=""200.456""","=""0.0015""","=""200.45458""","=""0.00024""","=""49870.2""","=""60""","=""""",,"=""38901.88""","=""88772.35""","=""3d6""","=""a 1G""","=""4""","=""3d5.(a 2G).4p""","=""3G*""","=""5""",,"=""""","=""L562""",
Mn,2,"=""200.5165""","=""0.0018""","=""200.51559""","=""0.00012""","=""49855.1""","=""15?""","=""""",,"=""32857.27""","=""82712.57""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(4F).4p""","=""x 5D*""","=""3""",,"=""""","=""L562""",
Mn,2,"=""200.6682""","=""0.0006""","=""200.66804""","=""0.00012""","=""49817.4""","=""15""","=""""",,"=""32787.90""","=""82605.33""","=""3d5.(4D).4s""","=""b 5D""","=""4""","=""3d5.(4F).4p""","=""x 5D*""","=""4""",,"=""""","=""L562""",
Mn,2,"=""200.790""","=""0.0015""","=""200.78998""","=""0.00012""","=""49787.1""","=""3""","=""""",,"=""36274.62""","=""86061.80""","=""3d5.(4P).4s""","=""b 3P""","=""2""","=""3d5.(a 2F).4p""","=""y 1F*""","=""3""",,"=""""","=""L562""",
Mn,2,"=""200.906""","=""0.0015""","=""200.90653""","=""0.00016""","=""49758.5""","=""1""","=""""",,"=""39813.76""","=""89572.06""","=""3d5.(4D).4s""","=""b 3D""","=""2""","=""3d5.(b 2F).4p""","=""t 3F*""","=""3""",,"=""""","=""L562""",
