element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""199.995""","=""0.005""","=""199.99536""","=""0.00020""","=""49985.1""","=""35""","=""1.4e+08""",D,"=""8307.5753""","=""58292.54""","=""3d4.4s2""","=""a 5D""","=""4""","=""3d4.4s.5p""","=""r 5D*""","=""4""",,"=""T3196""","=""L808""",
Cr,2,"=""200.01079""","=""0.00010""","=""200.010735""","=""0.000013""","=""49981.11""","=""5""","=""""",,"=""54887.9858""","=""104869.108""","=""3d4.(a 3F).4s""","=""d 4F""","=""7/2""","=""3d3.(4F).4s.4p.(1P*)""","=""p 4D*""","=""5/2""",,"=""""","=""L18847""",
Cr,2,"=""200.04227""","=""0.00008""","=""200.042230""","=""0.000009""","=""49973.25""","=""7*""","=""""",,"=""67369.0687""","=""117342.323""","=""3d4.(3H).4p""","=""y 4G*""","=""11/2""","=""3d4.(5D).6d""","=""4G""","=""11/2""",,"=""""","=""L18847""",
Cr,2,"=""200.04227""","=""0.00008""","=""200.042545""","=""0.000009""","=""49973.25""","=""7*""","=""""",,"=""67012.0754""","=""116985.251""","=""3d4.(a 3F).4p""","=""y 4F*""","=""5/2""","=""3d4.(5D).6d""","=""4G""","=""7/2""",,"=""""","=""L18847c153""",
Cr,1,"=""200.060""","=""0.005""","=""200.06050""","=""0.00003""","=""49968.8""","=""20""","=""""",,"=""8095.1842""","=""58063.876""","=""3d4.4s2""","=""a 5D""","=""3""","=""3d4.4s.5p""","=""r 5D*""","=""2""",,"=""""","=""L808""",
Cr,2,"=""200.08405""","=""0.00010""","=""200.084035""","=""0.000009""","=""49962.81""","=""6""","=""""",,"=""35610.3087""","=""85573.1233""","=""3d5""","=""b 2H""","=""9/2""","=""3d4.(1F).4p""","=""v 2G*""","=""7/2""",,"=""""","=""L18847""",
Cr,2,"=""200.11020""","=""0.00003""","=""200.110188""","=""0.000009""","=""49956.283""","=""18""","=""""",,"=""66010.2463""","=""115966.532""","=""3d3.4s2""","=""d 4P""","=""3/2""","=""3d3.(4P).4s.4p.(1P*)""","=""4P*""","=""3/2""",,"=""""","=""L18847""",
Cr,2,"=""200.16768""","=""0.00011""","=""200.167690""","=""0.000009""","=""49941.94""","=""4""","=""""",,"=""25042.7595""","=""74984.6964""","=""3d5""","=""b 4D""","=""3/2""","=""3d4.(3D).4p""","=""y 2P*""","=""3/2""",,"=""""","=""L18847""",
Cr,2,"=""200.1834""","=""0.0002""","=""200.183545""","=""0.000009""","=""49938.01""","=""4""","=""""",,"=""25046.7144""","=""74984.6964""","=""3d5""","=""b 4D""","=""5/2""","=""3d4.(3D).4p""","=""y 2P*""","=""3/2""",,"=""""","=""L18847""",
Cr,2,"=""200.202162""","=""0.000010""","=""200.202159""","=""0.000009""","=""49933.339""","=""78""","=""""",,"=""66010.2463""","=""115943.586""","=""3d3.4s2""","=""d 4P""","=""3/2""","=""3d3.(4P).4s.4p.(1P*)""","=""4P*""","=""1/2""",,"=""""","=""L18847""",
Cr,2,"=""200.27602""","=""0.00007""","=""200.276018""","=""0.000007""","=""49914.927""","=""7""","=""""",,"=""20512.0630""","=""70426.9907""","=""3d5""","=""a 4G""","=""5/2""","=""3d4.(3G).4p""","=""x 4G*""","=""7/2""",,"=""""","=""L18847""",
Cr,2,"=""200.299020""","=""0.000015""","=""200.299011""","=""0.000007""","=""49909.196""","=""41""","=""""",,"=""20517.7920""","=""70426.9907""","=""3d5""","=""a 4G""","=""7/2""","=""3d4.(3G).4p""","=""x 4G*""","=""7/2""",,"=""""","=""L18847""",
Cr,2,"=""200.30491""","=""0.00008""","=""200.304941""","=""0.000007""","=""49907.728""","=""8""","=""""",,"=""20519.2694""","=""70426.9907""","=""3d5""","=""a 4G""","=""9/2""","=""3d4.(3G).4p""","=""x 4G*""","=""7/2""",,"=""""","=""L18847""",
Cr,1,"=""200.355""","=""0.005""","=""200.35592""","=""0.00016""","=""49895.3""","=""5""","=""""",,"=""8307.5753""","=""58202.60""","=""3d4.4s2""","=""a 5D""","=""4""","=""3d5.(2F1).4p""","=""s 3F*""","=""3""",,"=""""","=""L808""",
Cr,2,"=""200.3611""","=""0.0003""","=""200.360909""","=""0.000009""","=""49893.75""","=""3""","=""""",,"=""67448.5405""","=""117342.323""","=""3d4.(a 3F).4p""","=""y 4F*""","=""9/2""","=""3d4.(5D).6d""","=""4G""","=""11/2""",,"=""""","=""L18847""",
Cr,2,"=""200.389343""","=""0.000015""","=""200.389350""","=""0.000007""","=""49886.704""","=""41""","=""""",,"=""20512.0959""","=""70398.7981""","=""3d5""","=""a 4G""","=""11/2""","=""3d4.(3G).4p""","=""y 2H*""","=""11/2""",,"=""""","=""L18847""",
Cr,2,"=""200.39600""","=""0.00005""","=""200.396006""","=""0.000013""","=""49885.047""","=""11""","=""""",,"=""25035.3437""","=""74920.389""","=""3d5""","=""b 4D""","=""1/2""","=""3d4.(3D).4p""","=""x 4P*""","=""1/2""",,"=""""","=""L18847""",
Cr,2,"=""200.40789""","=""0.00015""","=""200.408043""","=""0.000007""","=""49882.09""","=""4""","=""""",,"=""20512.0959""","=""70394.1455""","=""3d5""","=""a 4G""","=""11/2""","=""3d4.(3G).4p""","=""y 2H*""","=""9/2""",,"=""""","=""L18847""",
Cr,2,"=""200.4180""","=""0.0003""","=""200.418173""","=""0.000007""","=""49879.57""","=""4""","=""""",,"=""20519.2694""","=""70398.7981""","=""3d5""","=""a 4G""","=""9/2""","=""3d4.(3G).4p""","=""y 2H*""","=""11/2""",,"=""""","=""L18847""",
