element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ti,2,"=""199.99049""","=""0.00005""","=""199.990555""","=""0.000013""","=""49986.181""","=""8""","=""""",,"=""32332.9031""","=""82319.068""","=""3d3""","=""d 2D1""","=""5/2""","=""3d2.(3F).4f""","=""2D*""","=""5/2""",,"=""""","=""u37""",
Ti,2,"=""200.049""","=""""","=""200.051141""","=""0.000013""","=""49971.5""","=""0:""","=""""",,"=""32275.4863""","=""82246.515""","=""3d3""","=""d 2D1""","=""3/2""","=""3d2.(3F).4f""","=""4P*""","=""5/2""",,"=""""","=""L5432""",
Ti,2,"=""200.663""","=""""","=""200.663493""","=""0.000010""","=""49818.6""","=""1:""","=""""",,"=""32332.9031""","=""82151.461""","=""3d3""","=""d 2D1""","=""5/2""","=""3d2.(3F).4f""","=""2F*""","=""7/2""",,"=""""","=""L5432""",
Ti,3,"=""200.7360""","=""""","=""200.7357+""","=""""","=""49800.57""","=""4""","=""3.4e+08""",D,"=""80939.19""","=""130739.82""","=""3p6.3d.4p""","=""3P*""","=""1""","=""3p6.3d.4d""","=""3S""","=""1""",,"=""T1216""","=""L3593""",
Ti,3,"=""200.7604""","=""""","=""200.7586+""","=""""","=""49794.51""","=""2""","=""1.2e+08""",D,"=""80944.87""","=""130739.82""","=""3p6.3d.4p""","=""3P*""","=""0""","=""3p6.3d.4d""","=""3S""","=""1""",,"=""T1216""","=""L3593""",
Ti,2,"=""200.778""","=""""","=""200.777972""","=""0.000025""","=""49790.2""","=""0:""","=""""",,"=""32275.4863""","=""82065.643""","=""3d3""","=""d 2D1""","=""3/2""","=""3d2.(3F).4f""","=""2P*""","=""1/2""",,"=""""","=""L5432""",
Ti,15,"=""""","=""""","=""200.83""","=""""","=""49778""","=""""","=""1.1e-01""",E,"=""712278""","=""762056""","=""2s.2p5""","=""3P*""","=""2""","=""2s.2p5""","=""3P*""","=""0""",E2,"=""T3827,u14""","=""""",
Ti,3,"=""201.0800""","=""""","=""201.0801+""","=""""","=""49715.38""","=""6""","=""5.4e+08""",D,"=""81024.47""","=""130739.82""","=""3p6.3d.4p""","=""3P*""","=""2""","=""3p6.3d.4d""","=""3S""","=""1""",,"=""T1216""","=""L3593""",
Ti,2,"=""201.20690""","=""0.00005""","=""201.206959""","=""0.000010""","=""49684.031""","=""8""","=""""",,"=""24961.1910""","=""74645.2073""","=""3d.4s2""","=""c 2D""","=""3/2""","=""3d2.(3F).5p""","=""2D*""","=""5/2""",,"=""""","=""u37""",
Ti,2,"=""201.2721""","=""0.0002""","=""201.272145""","=""0.000013""","=""49667.93""","=""2""","=""""",,"=""32275.4863""","=""81943.4136""","=""3d3""","=""d 2D1""","=""3/2""","=""3d2.(3F).4f""","=""4F*""","=""5/2""",,"=""""","=""u37""",
Ti,5,"=""201.7614""","=""""","=""201.760+""","=""""","=""49547.50""","=""1""","=""""",,"=""443752.7""","=""493300.5""","=""3s2.3p5.4s""","=""1P*""","=""1""","=""3s2.3p5.4p""","=""3D""","=""1""",,"=""""","=""L3693""",
