label,csv,ion,bins,null_n,mode,out_dir,status,n_unique_lines,k_best,deltaD,scan_null_p,tail_count_ge,n_obs,ell_min,ell_max,delta_ell,wavenumber_min_cm,wavenumber_max_cm,error
ni,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\data\Ni_lines.csv,2,160,500,preview,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\outputs\batch_neighbors\ni_ion2_160_preview,ok,170,28.399759903961584,24.149190957751074,0.001996007984031936,0,10.128311329434567,8.55505792148704,10.795853517888075,2.2407955964010355,5156.49,49163.17,
co,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\data\Co_lines.csv,2,160,500,preview,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\outputs\batch_neighbors\co_ion2_160_preview,ok,2450,30.24489795918367,327.1531728350478,0.001996007984031936,0,10.973125315221532,8.532292404501941,10.811889440917309,2.2795970364153675,5039.811,49963.998,
cr,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\data\Cr_lines.csv,2,160,500,preview,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\outputs\batch_neighbors\cr_ion2_160_preview,ok,3898,19.17406962785114,228.48601903619192,0.001996007984031936,0,6.973272936114984,8.527130282920638,10.81221461324499,2.285084330324352,5013.7754,49981.11,
mn,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\data\Mn_lines.csv,2,160,500,preview,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\outputs\batch_neighbors\mn_ion2_160_preview,ok,2584,15.133853541416567,89.45939444410669,0.001996007984031936,0,5.45285274930049,8.548193288754323,10.81207698386584,2.2638836951115167,5120.842,49970.9,
ti,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\data\Ti_lines.csv,2,160,500,preview,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\outputs\batch_neighbors\ti_ion2_160_preview,ok,1578,66.25690276110444,46.98826283557247,0.001996007984031936,0,23.560435590586685,8.578224443015273,10.812475918175197,2.2342514751599243,5277.451,49986.181,
ni,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\data\Ni_lines.csv,2,160,5000,full,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\outputs\batch_neighbors\ni_ion2_160_full,ok,170,28.399759903961584,24.149190957751074,0.0003999200159968006,1,10.128311329434567,8.55505792148704,10.795853517888075,2.2407955964010355,5156.49,49163.17,
ni,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\data\Ni_lines.csv,2,120,5000,full_bin120,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\outputs\batch_neighbors\ni_ion2_120_full_bin120,ok,170,28.27250900360144,25.105421856542137,0.0005998800239952009,2,10.061791153857646,8.557406763831274,10.79350467554384,2.236097911712566,5156.49,49163.17,
ni,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\data\Ni_lines.csv,2,200,5000,full_bin200,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\outputs\batch_neighbors\ni_ion2_200_full_bin200,ok,170,28.367947178871546,20.79954004004213,0.001999600079984003,9,10.129691582912393,8.553648616080498,10.797262823294616,2.2436142072141187,5156.49,49163.17,
co,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\data\Co_lines.csv,2,160,5000,full,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\outputs\batch_neighbors\co_ion2_160_full,ok,2450,30.24489795918367,327.1531728350478,0.0001999600079984003,0,10.973125315221532,8.532292404501941,10.811889440917309,2.2795970364153675,5039.811,49963.998,
co,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\data\Co_lines.csv,2,120,5000,full_bin120,C:\Users\Ricky.Reyes.CST\Desktop\RESEARCH\NIST\outputs\batch_neighbors\co_ion2_120_full_bin120,ok,2450,30.24489795918367,355.0073314459786,0.0001999600079984003,0,10.950120859634062,8.534681919215165,10.809499926204085,2.2748180069889194,5039.811,49963.998,
