element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Cr,2,1993.9606,0.0006,1993.9604,0.0012,5013.7754,3,,,110295.323,115309.099,3d4.(5D).5d,4G,5/2,3d4.(5D<1>).5f,2[4]*,7/2,,,L18847,,5013.7754,8.519944483139742,wn(cm-1)
Cr,2,1962.4882,0.0003,1962.4891,0.0012,5094.1813,2,,,110336.221,115430.400,3d4.(5D).5d,4G,7/2,3d4.(5D<2>).5f,2[4]*,9/2,,,L18847,,5094.1813,8.535854245797307,wn(cm-1)
Cr,2,1942.0783,0.0003,1942.0788,0.0008,5147.7175,3,,,89508.4990,94656.2153,3d4.(5D).4d,e 4G,11/2,3d3.(4P).4s.4p.(3P*),x 6D*,9/2,,,L18847,,5147.7175,8.546308691530417,wn(cm-1)
Cr,2,1925.81020,0.00019,1925.8104,0.0007,5191.2024,3,,,89173.9920,94365.1938,3d4.(5D).4d,e 4G,7/2,3d4.(5D).5p,4F*,5/2,,,L18847,,5191.2024,8.554720625627702,wn(cm-1)
Cr,2,1923.65132,0.00019,1923.6516,0.0007,5197.0284,4,,,89325.2787,94522.3064,3d4.(5D).4d,e 4G,9/2,3d4.(5D).5p,4F*,7/2,,,L18847,,5197.0284,8.55584227968468,wn(cm-1)
Cr,2,1922.5111,0.0003,1922.5119,0.0007,5200.1106,2,,,89055.9455,94256.0540,3d4.(5D).4d,e 4G,5/2,3d4.(5D).5p,4F*,3/2,,,L18847,,5200.1106,8.556435173574101,wn(cm-1)
Cr,2,1912.4956,0.0005,1912.4960,0.0011,5227.3430,2,,,110371.537,115598.879,3d4.(5D).5d,4G,9/2,3d4.(5D<3>).5f,2[5]*,11/2,,,L18847,,5227.343,8.56165839737497,wn(cm-1)
Cr,2,1907.6102,0.0003,1907.6100,0.0007,5240.7301,3,,,89508.4990,94749.2299,3d4.(5D).4d,e 4G,11/2,3d4.(5D).5p,4F*,9/2,,,L18847,,5240.7301,8.564216099670347,wn(cm-1)
Cr,2,1882.9153,0.0005,1882.9152,0.0011,5309.4637,1,,,110272.075,115581.539,3d4.(5D).6p,6D*,7/2,3d4.(5D).7s,6D,7/2,,,L18847,,5309.4637,8.577246111018571,wn(cm-1)
Cr,2,1877.3015,0.0005,1877.3014,0.0011,5325.3409,5,,,110315.007,115640.348,3d4.(5D).6p,4F*,5/2,3d4.(5D).7s,4D,3/2,,,L18847,,5325.3409,8.580232007307854,wn(cm-1)
Cr,2,1869.6626,0.0002,1869.6625,0.0010,5347.0985,5,,,110471.296,115818.395,3d4.(5D).6p,4F*,7/2,3d4.(5D).7s,4D,5/2,,,L18847,,5347.0985,8.584309356323848,wn(cm-1)
Cr,2,1868.4146,0.0004,1868.4157,0.0010,5350.6701,2,,,105731.6360,111082.303,3d4.(a 3F).4d,4D,5/2,3d4.(5D).6p,4D*,5/2,,,L18847,,5350.6701,8.584977084383082,wn(cm-1)
Cr,2,1860.0685,0.0009,1860.0670,0.0010,5374.678,4,,,115979.462,121354.145,3d4.(5D<4>).5g,2[6],11/2,3d4.(5D<4>).6h,2[6]*,11/2,,,L18847,,5374.678,8.589453944224624,wn(cm-1)
Cr,2,1860.0018,0.0004,1860.0022,0.0010,5374.8712,8,,,115979.462,121354.332,3d4.(5D<4>).5g,2[6],11/2,3d4.(5D<4>).6h,2[7]*,13/2,,,L18847,,5374.8712,8.589489889918054,wn(cm-1)
Cr,2,1859.9744,0.0010,1859.9746,0.0010,5374.950,3,,,115979.188,121354.138,3d4.(5D<4>).5g,2[6],13/2,3d4.(5D<4>).6h,2[6]*,13/2,,,L18847,,5374.95,8.589504550627016,wn(cm-1)
Cr,2,1859.9048,0.0003,1859.9050,0.0010,5375.1515,11,,,115979.188,121354.339,3d4.(5D<4>).5g,2[6],13/2,3d4.(5D<4>).6h,2[7]*,15/2,,,L18847,,5375.1515,8.589542038645156,wn(cm-1)
Cr,2,1859.6784,0.0008,1859.6770,0.0010,5375.806,4,,,115975.104,121350.914,3d4.(5D<4>).5g,2[5],11/2,3d4.(5D<4>).6h,2[5]*,11/2,,,L18847,,5375.806,8.589663795242336,wn(cm-1)
Cr,2,1858.6360,0.0002,1858.6363,0.0010,5378.8209,7,,,115975.325,121354.145,3d4.(5D<4>).5g,2[5],9/2,3d4.(5D<4>).6h,2[6]*,11/2,,,L18847,,5378.8209,8.590224465567212,wn(cm-1)
Cr,2,1858.5624,0.0003,1858.5624,0.0010,5379.0339,4,,,115975.104,121354.138,3d4.(5D<4>).5g,2[5],11/2,3d4.(5D<4>).6h,2[6]*,13/2,,,L18847,,5379.0339,8.590264064540055,wn(cm-1)
Cr,2,1857.9982,0.0002,1857.9980,0.0010,5380.6672,10,,,115969.057,121349.725,3d4.(5D<4>).5g,2[7],13/2,3d4.(5D<4>).6h,2[8]*,15/2,,,L18847,,5380.6672,8.59056766033651,wn(cm-1)
Cr,2,1857.8861,0.0002,1857.8861,0.0010,5380.9919,12,,,115968.746,121349.738,3d4.(5D<4>).5g,2[7],15/2,3d4.(5D<4>).6h,2[8]*,17/2,,,L18847,,5380.9919,8.590628004191874,wn(cm-1)
Cr,2,1857.4202,0.0002,1857.4201,0.0010,5382.3417,5,,,110665.468,116047.810,3d4.(5D).6p,4F*,9/2,3d4.(5D).7s,4D,7/2,,,L18847,,5382.3417,8.590878818680626,wn(cm-1)
Cr,2,1856.4115,0.0020,1856.4085,0.0010,5385.266,2,,,115969.057,121354.332,3d4.(5D<4>).5g,2[7],13/2,3d4.(5D<4>).6h,2[7]*,13/2,,,L18847,,5385.266,8.591421984842205,wn(cm-1)
Cr,2,1856.2989,0.0020,1856.2989,0.0010,5385.593,3,,,115968.746,121354.339,3d4.(5D<4>).5g,2[7],15/2,3d4.(5D<4>).6h,2[7]*,15/2,,,L18847,,5385.593,8.591482704233313,wn(cm-1)
Cr,2,1856.2525,0.0003,1856.2527,0.0010,5385.7275,7,,,115451.513,120837.240,3d4.(5D<1>).5g,2[3],7/2,3d4.(5D<1>).6h,2[4]*,9/2,,,L18847,,5385.7275,8.591507677958681,wn(cm-1)
Cr,2,1856.2300,0.0005,1856.2299,0.0010,5385.7927,9,,,115451.435,120837.228,3d4.(5D<1>).5g,2[3],5/2,3d4.(5D<1>).6h,2[4]*,7/2,,,L18847,,5385.7927,8.591519783956496,wn(cm-1)
Cr,2,1855.8730,0.0003,1855.8729,0.0010,5386.8289,9,,,115742.402,121129.231,3d4.(5D<3>).5g,2[5],9/2,3d4.(5D<3>).6h,2[6]*,11/2,,,L18847,,5386.8289,8.59171216052771,wn(cm-1)
Cr,2,1855.8186,0.0003,1855.8185,0.0010,5386.9868,10,,,115742.253,121129.240,3d4.(5D<3>).5g,2[5],11/2,3d4.(5D<3>).6h,2[6]*,13/2,,,L18847,,5386.9868,8.591741472334112,wn(cm-1)
Cr,2,1855.8061,0.0002,1855.8061,0.0010,5387.0230,12,,,115741.174,121128.197,3d4.(5D<3>).5g,2[6],11/2,3d4.(5D<3>).6h,2[7]*,13/2,,,L18847,,5387.023,8.591748192209195,wn(cm-1)
Cr,2,1855.7360,0.0002,1855.7362,0.0010,5387.2265,15,,,115740.982,121128.208,3d4.(5D<3>).5g,2[6],13/2,3d4.(5D<3>).6h,2[7]*,15/2,,,L18847,,5387.2265,8.59178596746213,wn(cm-1)
Cr,2,1855.4470,0.0014,1855.4500,0.0010,5388.066,2,,,115741.174,121129.231,3d4.(5D<3>).5g,2[6],11/2,3d4.(5D<3>).6h,2[6]*,11/2,,,L18847,,5388.066,8.591941786898438,wn(cm-1)
Cr,2,1855.4078,0.0006,1855.4080,0.0010,5388.1795,4,,,115962.724,121350.903,3d4.(5D<4>).5g,2[4],7/2,3d4.(5D<4>).6h,2[5]*,9/2,,,L18847,,5388.1795,8.591962851748901,wn(cm-1)
Cr,2,1855.3853,0.0015,1855.3808,0.0010,5388.245,2,,,115740.982,121129.240,3d4.(5D<3>).5g,2[6],13/2,3d4.(5D<3>).6h,2[6]*,13/2,,,L18847,,5388.245,8.591975007914426,wn(cm-1)
Cr,2,1855.3601,0.0004,1855.3608,0.0010,5388.3180,7,,,115962.598,121350.914,3d4.(5D<4>).5g,2[4],9/2,3d4.(5D<4>).6h,2[5]*,11/2,,,L18847,,5388.318,8.591988555833185,wn(cm-1)
Cr,2,1855.3227,0.0024,1855.3150,0.0010,5388.426,1,,,115738.293,121126.742,3d4.(5D<3>).5g,2[4],7/2,3d4.(5D<3>).6h,2[4]*,7/2,,,L18847,,5388.426,8.592008598992788,wn(cm-1)
Cr,2,1855.2992,0.0012,1855.3005,0.0010,5388.495,2,,,115738.248,121126.739,3d4.(5D<3>).5g,2[4],9/2,3d4.(5D<3>).6h,2[4]*,9/2,,,L18847,,5388.495,8.592021404134442,wn(cm-1)
Cr,2,1854.9781,0.0004,1854.9783,0.0010,5389.4275,5,,,115566.506,120955.933,3d4.(5D<2>).5g,2[2],5/2,3d4.(5D<2>).6h,2[3]*,7/2,,,L18847,,5389.4275,8.592194443048449,wn(cm-1)
Cr,2,1854.9199,0.0004,1854.9198,0.0017,5389.5968,5,,,115566.334,120955.931,3d4.(5D<2>).5g,2[2],3/2,3d4.(5D<2>).6h,2[3]*,5/2,,,L18847,,5389.5968,8.59222585591019,wn(cm-1)
Cr,2,1854.7216,0.0003,1854.7216,0.0010,5390.1730,7,,,115738.293,121128.466,3d4.(5D<3>).5g,2[4],7/2,3d4.(5D<3>).6h,2[5]*,9/2,,,L18847,,5390.173,8.592332759862916,wn(cm-1)
Cr,2,1854.7021,0.0002,1854.7023,0.0010,5390.2295,10,,,115738.248,121128.477,3d4.(5D<3>).5g,2[4],9/2,3d4.(5D<3>).6h,2[5]*,11/2,,,L18847,,5390.2295,8.592343241846311,wn(cm-1)
Cr,2,1853.9198,0.0004,1853.9198,0.0010,5392.5040,8,,,115443.884,120836.388,3d4.(5D<1>).5g,2[5],9/2,3d4.(5D<1>).6h,2[6]*,11/2,,,L18847,,5392.504,8.592765120034015,wn(cm-1)
Cr,2,1853.9051,0.0004,1853.9051,0.0010,5392.5469,8,,,115443.872,120836.419,3d4.(5D<1>).5g,2[5],11/2,3d4.(5D<1>).6h,2[6]*,13/2,,,L18847,,5392.5469,8.59277307549021,wn(cm-1)
Cr,2,1853.8428,0.0013,1853.8415,0.0010,5392.728,2,,,115731.924,121124.656,3d4.(5D<3>).5g,2[3],7/2,3d4.(5D<3>).6h,2[3]*,7/2,,,L18847,,5392.728,8.592806658315256,wn(cm-1)
Cr,2,1853.5701,0.0002,1853.5699,0.0010,5393.5216,11,,,115560.936,120954.458,3d4.(5D<2>).5g,2[6],11/2,3d4.(5D<2>).6h,2[7]*,13/2,,,L18847,,5393.5216,8.592953808628081,wn(cm-1)
Cr,2,1853.5283,0.0002,1853.5283,0.0010,5393.6431,14,,,115560.829,120954.472,3d4.(5D<2>).5g,2[6],13/2,3d4.(5D<2>).6h,2[7]*,15/2,,,L18847,,5393.6431,8.592976335400108,wn(cm-1)
Cr,2,1853.1831,0.0003,1853.1834,0.0010,5394.6477,7,,,115732.095,121126.742,3d4.(5D<3>).5g,2[3],5/2,3d4.(5D<3>).6h,2[4]*,7/2,,,L18847,,5394.6477,8.5931625743552,wn(cm-1)
Cr,2,1853.1257,0.0004,1853.1257,0.0010,5394.8148,6,,,115731.924,121126.739,3d4.(5D<3>).5g,2[3],7/2,3d4.(5D<3>).6h,2[4]*,9/2,,,L18847,,5394.8148,8.593193549021455,wn(cm-1)
Cr,2,1853.1049,0.0002,1853.1047,0.0010,5394.8756,10,,,115556.286,120951.162,3d4.(5D<2>).5g,2[4],9/2,3d4.(5D<2>).6h,2[5]*,11/2,,,L18847,,5394.8756,8.593204819038991,wn(cm-1)
Cr,2,1853.0856,0.0004,1853.0858,0.0010,5394.9317,3,,,115945.334,121340.265,3d4.(5D<4>).5g,2[3],7/2,3d4.(5D<4>).6h,2[3]*,7/2,,,L18847,,5394.9317,8.593215217741848,wn(cm-1)
Cr,2,1853.0644,0.0002,1853.0645,0.0010,5394.9935,10,,,115556.158,120951.151,3d4.(5D<2>).5g,2[4],7/2,3d4.(5D<2>).6h,2[5]*,9/2,,,L18847,,5394.9935,8.593226672872232,wn(cm-1)
Cr,2,1852.6370,0.0002,1852.6370,0.0010,5396.2379,12,,,115554.910,120951.148,3d4.(5D<2>).5g,2[5],9/2,3d4.(5D<2>).6h,2[6]*,11/2,,,L18847,,5396.2379,8.59345730456928,wn(cm-1)
