element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Ni,2,,,1938.77,,5156.49,,8.7e-02,D,8393.90,13550.39,3p6.3d8.(3F).4s,4F,9/2,3p6.3d8.(3F).4s,2F,7/2,M1,T4240,,,5156.49,8.548011394454331,wn(cm-1)
Ni,2,,,1895.31,,5274.75,,1.5e-05,E,23796.18,29070.93,3p6.3d8.(1D).4s,2D,3/2,3p6.3d8.(3P).4s,2P,3/2,E2,T4240,,,5274.75,8.570686563856237,wn(cm-1)
Ni,2,,,1764.578,,5665.53,,2.8e-03,D,9330.04,14995.57,3p6.3d8.(3F).4s,4F,7/2,3p6.3d8.(3F).4s,2F,5/2,M1,T4240,,,5665.53,8.642155726014439,wn(cm-1)
Ni,2,,,1724.476,,5797.28,,2.1e-06,E,23796.18,29593.46,3p6.3d8.(1D).4s,2D,3/2,3p6.3d8.(3P).4s,2P,1/2,E2,T4240,,,5797.28,8.66514412101855,wn(cm-1)
Ni,2,,,1676.649,,5962.65,,8.0e-02,D,23108.28,29070.93,3p6.3d8.(3P).4s,4P,5/2,3p6.3d8.(3P).4s,2P,3/2,M1,T4240,,,5962.65,8.693270292112864,wn(cm-1)
Ni,2,,,1339.550,,7463.15,,9.8e-05,E,25036.38,32499.53,3p6.3d8.(1D).4s,2D,5/2,3p6.3d8.(1G).4s,2G,9/2,E2,T4240,,,7463.15,8.917732856085237,wn(cm-1)
Ni,2,,,1335.255,,7487.16,,2.3e-06,E,25036.38,32523.54,3p6.3d8.(1D).4s,2D,5/2,3p6.3d8.(1G).4s,2G,7/2,M1,T4240,,,7487.16,8.920944832377659,wn(cm-1)
Ni,2,,,1292.414,,7735.34,,3.7e-05,E,24788.20,32523.54,3p6.3d8.(3P).4s,4P,3/2,3p6.3d8.(1G).4s,2G,7/2,E2,T4240,,,7735.34,8.953554718085083,wn(cm-1)
Ni,2,,,1277.916,,7823.10,,2.1e-05,E,1506.94,9330.04,3p6.3d9,2D,3/2,3p6.3d8.(3F).4s,4F,7/2,E2,T4240,,,7823.1,8.96483617442327,wn(cm-1)
Ni,2,,,1232.297,,8112.71,,8.2e-02,E,14995.57,23108.28,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(3P).4s,4P,5/2,M1,T4240,,,8112.71,9.001187246655737,wn(cm-1)
Ni,2,,,1161.295,,8608.72,,2.7e-04,E,1506.94,10115.66,3p6.3d9,2D,3/2,3p6.3d8.(3F).4s,4F,5/2,E2,T4240,,,8608.72,9.06053092202635,wn(cm-1)
Ni,2,,,1145.508,,8727.36,,3.2e-04,E,23796.18,32523.54,3p6.3d8.(1D).4s,2D,3/2,3p6.3d8.(1G).4s,2G,7/2,E2,T4240,,,8727.36,9.074218197601603,wn(cm-1)
Ni,2,,,1135.974,,8800.61,,2.6e-05,E,14995.57,23796.18,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(1D).4s,2D,3/2,E2,T4240,,,8800.61,9.082576316245722,wn(cm-1)
Ni,2,,,1091.768,,9156.95,,6.1e-05,E,1506.94,10663.89,3p6.3d9,2D,3/2,3p6.3d8.(3F).4s,4F,3/2,E2,T4240,,,9156.95,9.122268432789232,wn(cm-1)
Ni,2,,,1071.513,,9330.04,,7.8e-04,E,0.00,9330.04,3p6.3d9,2D,5/2,3p6.3d8.(3F).4s,4F,7/2,E2,T4240,,,9330.04,9.140994581077644,wn(cm-1)
Ni,2,,,1064.529,,9391.25,,2.9e-04,E,23108.28,32499.53,3p6.3d8.(3P).4s,4P,5/2,3p6.3d8.(1G).4s,2G,9/2,E2,T4240,,,9391.25,9.14753368368337,wn(cm-1)
Ni,2,,,1061.815,,9415.26,,8.0e-06,E,23108.28,32523.54,3p6.3d8.(3P).4s,4P,5/2,3p6.3d8.(1G).4s,2G,7/2,M1,T4240,,,9415.26,9.15008705621712,wn(cm-1)
Ni,2,,,1045.969,,9557.89,,7.6e-02,E,13550.39,23108.28,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(3P).4s,4P,5/2,M1,T4240,,,9557.89,9.165122270388053,wn(cm-1)
Ni,2,,,1020.896,,9792.63,,1.3e-05,E,14995.57,24788.20,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(3P).4s,4P,3/2,E2,T4240,,,9792.63,9.189385340917786,wn(cm-1)
Ni,2,,,995.663,,10040.81,,6.2e-02,E,14995.57,25036.38,3p6.3d8.(3F).4s,2F,5/2,3p6.3d8.(1D).4s,2D,5/2,M1,T4240,,,10040.81,9.214413067282319,wn(cm-1)
Ni,2,990.092,,,,10097.30,500w,,,,,,,,,,,,,L897,,10097.3,9.220023340358518,wn(cm-1)
Ni,2,,,988.295,,10115.66,,1.2e-04,E,0.00,10115.66,3p6.3d9,2D,5/2,3p6.3d8.(3F).4s,4F,5/2,M1,T4240,,,10115.66,9.221839997102444,wn(cm-1)
Ni,2,,,975.743,,10245.79,,6.0e-05,E,13550.39,23796.18,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(1D).4s,2D,3/2,E2,T4240,,,10245.79,9.234622168485865,wn(cm-1)
Ni,2,,,937.487,,10663.89,,7.5e-05,E,0.00,10663.89,3p6.3d9,2D,5/2,3p6.3d8.(3F).4s,4F,3/2,E2,T4240,,,10663.89,9.274618546726574,wn(cm-1)
Ni,2,,,889.609,,11237.81,,4.5e-05,E,13550.39,24788.20,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(3P).4s,4P,3/2,E2,T4240,,,11237.81,9.32703926460628,wn(cm-1)
Ni,2,,,870.387,,11485.99,,8.9e-02,E,13550.39,25036.38,3p6.3d8.(3F).4s,2F,7/2,3p6.3d8.(1D).4s,2D,5/2,M1,T4240,,,11485.99,9.348883310798755,wn(cm-1)
Ni,2,,,830.099,,12043.45,,1.3e-02,E,1506.94,13550.39,3p6.3d9,2D,3/2,3p6.3d8.(3F).4s,2F,7/2,E2,T4240,,,12043.45,9.396276222667176,wn(cm-1)
Ni,2,812.148,,,,12309.64,700,,,,,,,,,,,,,L897,,12309.64,9.418137974234217,wn(cm-1)
Ni,2,811.421,,,,12320.67,500,,,,,,,,,,,,,L897,,12320.67,9.419033618725686,wn(cm-1)
Ni,2,809.675,,,,12347.24,1000,,,,,,,,,,,,,L897,,12347.24,9.421187835298973,wn(cm-1)
