element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Ti,2,1894.3369,0.0011,1894.3373,0.0011,5277.451,38,,,74910.8726,80188.3226,3d2.(1D).4d,2G,7/2,3d2.(1D).5p,2F*,5/2,,,u37,,5277.451,8.571198494980178,wn(cm-1)
Ti,2,1894.0111,0.0007,1894.0107,0.0006,5278.359,81,,,67606.1621,72884.5221,3d2.(3F).4d,e 2G,7/2,3d2.(3F).5p,2G*,7/2,,,u37,,5278.359,8.571370532938845,wn(cm-1)
Ti,2,1888.515,0.002,1888.5139,0.0005,5293.721,18,,,65598.8926,70892.6160,3d2.(3F).4d,f 2F,7/2,3d.(2D).4s.4p.(1P*),v 2F*,7/2,,,u37,,5293.721,8.574276680227154,wn(cm-1)
Ti,2,1882.3834,0.0007,1882.3840,0.0008,5310.964,95,,,67822.5867,73133.5489,3d2.(3F).4d,e 2G,9/2,3d2.(3F).5p,2G*,9/2,,,u37,,5310.964,8.57752864201494,wn(cm-1)
Ti,2,1865.1578,0.0007,1865.1576,0.0010,5360.013,53,,,74908.058,80268.0717,3d2.(1D).4d,2G,9/2,3d2.(1D).5p,2F*,7/2,,,u37,,5360.013,8.58672167943504,wn(cm-1)
Ti,2,1840.290,0.002,1840.2891,0.0005,5432.443,16,,,65460.1706,70892.6160,3d2.(3F).4d,4D,7/2,3d.(2D).4s.4p.(1P*),v 2F*,7/2,,,u37,,5432.443,8.600144219668728,wn(cm-1)
Ti,2,1819.3815,0.0020,1819.3801,0.0005,5494.873,18bl,,,65397.7388,70892.6160,3d2.(3F).4d,4D,5/2,3d.(2D).4s.4p.(1P*),v 2F*,7/2,,,u37,,5494.873,8.61157075465071,wn(cm-1)
Ti,2,1812.469,0.002,1812.4687,0.0010,5515.829,15,,,76345.1973,81861.0276,3d2.(3P).4d,4D,7/2,3d2.(3F).4f,4G*,7/2,,,u37,,5515.829,8.615377237707497,wn(cm-1)
Ti,2,1773.214,0.003,1773.2150,0.0008,5637.937,13,,,76496.2220,82134.1565,3d2.(3P).4d,4F,9/2,3d2.(3F).4f,4D*,7/2,,,u37,,5637.937,8.637273497436388,wn(cm-1)
Ti,2,1763.033,0.002,1763.0333,0.0009,5670.495,12,,,76441.3150,82111.809,3d2.(3P).4d,4F,7/2,3d2.(3P).5p,4D*,5/2,,,u37,,5670.495,8.643031694498537,wn(cm-1)
Ti,2,1738.8512,0.0006,1738.8545,0.0009,5749.353,520bl,,,66521.210,72270.5521,3d2.(3F).4d,2P,1/2,3d2.(3F).5p,4D*,1/2,,,u37,,5749.353,8.65684260572122,wn(cm-1)
Ti,2,1717.6636,0.0012,1717.6638,0.0007,5820.272,28,,,76496.2220,82316.4935,3d2.(3P).4d,4F,9/2,3d2.(3P).5p,4D*,7/2,,,u37,,5820.272,8.669102275028608,wn(cm-1)
Ti,2,1711.7982,0.0006,1711.7970,0.0012,5840.215,44bl,,,76311.242,82151.461,3d2.(3P).4d,4F,5/2,3d2.(3F).4f,2F*,7/2,,,u37,,5840.215,8.672522890213108,wn(cm-1)
Ti,2,1689.6592,0.0014,1689.6591,0.0005,5916.737,20,,,67606.1621,73522.8997,3d2.(3F).4d,e 2G,7/2,3d2.(3F).5p,2F*,5/2,,,u37,,5916.737,8.685540393488742,wn(cm-1)
Ti,2,1672.2917,0.0014,1672.2920,0.0006,5978.185,21,,,67822.5867,73800.7705,3d2.(3F).4d,e 2G,9/2,3d2.(3F).5p,2F*,7/2,,,u37,,5978.185,8.695872289169992,wn(cm-1)
Ti,2,1642.9889,0.0011,1642.9836,0.0005,6084.806,27bl,,,56326.1371,62410.9628,3d.(2D).4s.4p.(3P*),y 4P*,5/2,3d2.(3F).5s,e 4F,7/2,,,u37,,6084.806,8.713550123237143,wn(cm-1)
Ti,2,1623.3517,0.0011,1623.3498,0.0006,6158.412,24,,,63169.0910,69327.5102,3d2.(3F).5s,e 2F,5/2,3d.(2D).4s.4p.(1P*),v 2D*,3/2,,,u37,,6158.412,8.72557423108565,wn(cm-1)
Ti,2,1622.2399,0.0016,1622.2405,0.0006,6162.633,18,,,68482.5767,74645.2073,3d2.(3F).4d,2D,5/2,3d2.(3F).5p,2D*,5/2,,,u37,,6162.633,8.726259400268155,wn(cm-1)
Ti,2,1618.6575,0.0005,1618.6571,0.0004,6176.272,50,,,63446.0264,69622.3000,3d2.(3F).5s,e 2F,7/2,3d.(2D).4s.4p.(1P*),v 2D*,5/2,,,u37,,6176.272,8.728470132185594,wn(cm-1)
Ti,2,1611.3467,0.0013,1611.3466,0.0006,6204.294,21,,,74063.7771,80268.0717,3d2.(1D).4d,2F,7/2,3d2.(1D).5p,2F*,7/2,,,u37,,6204.294,8.732996911955048,wn(cm-1)
Ti,2,1609.1652,0.0016,1609.1653,0.0008,6212.705,16,,,73975.618,80188.3226,3d2.(1D).4d,2F,5/2,3d2.(1D).5p,2F*,5/2,,,u37,,6212.705,8.73435166784839,wn(cm-1)
Ti,2,1600.5046,0.0013,1600.5053,0.0003,6246.323,19,,,24961.1910,31207.5111,3d.4s2,c 2D,3/2,3d2.(3F).4p,z 2F*,5/2,,,u37,,6246.323,8.73974824960233,wn(cm-1)
Ti,2,1593.2093,0.0005,1593.2092,0.0003,6274.925,442,,,65186.8680,71461.7932,3d2.(3F).4d,e 4H,7/2,3d2.(3F).5p,4G*,5/2,,,u37,,6274.925,8.744316811737322,wn(cm-1)
Ti,2,1592.4758,0.0005,1592.4756,0.0003,6277.815,580,,,65308.4355,71586.2514,3d2.(3F).4d,e 4H,9/2,3d2.(3F).5p,4G*,7/2,,,u37,,6277.815,8.744777268984276,wn(cm-1)
Ti,2,1587.3835,0.0008,1587.3839,0.0004,6297.954,31,,,25192.9650,31490.9177,3d.4s2,c 2D,5/2,3d2.(3F).4p,z 2F*,7/2,,,u37,,6297.954,8.747980097728295,wn(cm-1)
Ti,2,1586.5442,0.0005,1586.5441,0.0003,6301.286,800,,,65446.3822,71747.6684,3d2.(3F).4d,e 4H,11/2,3d2.(3F).5p,4G*,9/2,,,u37,,6301.286,8.748509018532673,wn(cm-1)
Ti,2,1572.9885,0.0005,1572.9885,0.0004,6355.589,1180,,,65590.4928,71946.0817,3d2.(3F).4d,e 4H,13/2,3d2.(3F).5p,4G*,11/2,,,u37,,6355.589,8.757089862255587,wn(cm-1)
Ti,2,1571.5168,0.0017,1571.5170,0.0003,6361.541,14,,,65598.8926,71960.4326,3d2.(3F).4d,f 2F,7/2,3d2.(3F).5p,4F*,7/2,,,u37,,6361.541,8.758025922582814,wn(cm-1)
Ti,2,1562.2235,0.0005,1562.2237,0.0003,6399.384,100,,,65186.8680,71586.2514,3d2.(3F).4d,e 4H,7/2,3d2.(3F).5p,4G*,7/2,,,u37,,6399.384,8.763957014715436,wn(cm-1)
Ti,2,1555.2079,0.0007,1555.2078,0.0003,6428.252,36,,,65397.7388,71825.9911,3d2.(3F).4d,4D,5/2,3d2.(3F).5p,4F*,5/2,,,u37,,6428.252,8.76845792957372,wn(cm-1)
Ti,2,1552.5558,0.0005,1552.5558,0.0003,6439.233,164,,,65308.4355,71747.6684,3d2.(3F).4d,e 4H,9/2,3d2.(3F).5p,4G*,9/2,,,u37,,6439.233,8.770164712626624,wn(cm-1)
Ti,2,1549.0824,0.0010,1549.0821,0.0003,6453.671,28,,,65274.8247,71728.4971,3d2.(3F).4d,4D,3/2,3d2.(3F).5p,4F*,3/2,,,u37,,6453.671,8.772404395173751,wn(cm-1)
Ti,2,1542.1905,0.0005,1542.1904,0.0003,6482.512,95,,,64979.2810,71461.7932,3d2.(3F).4d,e 4G,7/2,3d2.(3F).5p,4G*,5/2,,,u37,,6482.512,8.776863368548785,wn(cm-1)
Ti,2,1540.3454,0.0005,1540.3453,0.0003,6490.277,189,,,65095.9741,71586.2514,3d2.(3F).4d,e 4G,9/2,3d2.(3F).5p,4G*,7/2,,,u37,,6490.277,8.778060489835092,wn(cm-1)
Ti,2,1538.1108,0.0005,1538.1124,0.0003,6499.706,358bl,,,65446.3822,71946.0817,3d2.(3F).4d,e 4H,11/2,3d2.(3F).5p,4G*,11/2,,,u37,,6499.706,8.779512224091556,wn(cm-1)
Ti,2,1537.9788,0.0012,1537.9793,0.0003,6500.264,19bl,,,65460.1706,71960.4326,3d2.(3F).4d,4D,7/2,3d2.(3F).5p,4F*,7/2,,,u37,,6500.264,8.779598070443562,wn(cm-1)
Ti,2,1537.0861,0.0005,1537.0860,0.0003,6504.039,215,,,65243.6290,71747.6684,3d2.(3F).4d,e 4G,11/2,3d2.(3F).5p,4G*,9/2,,,u37,,6504.039,8.780178647519632,wn(cm-1)
Ti,2,1535.3129,0.0005,1535.3176,0.0003,6511.551,1830bl,,,65314.4599,71825.9911,3d2.(3F).4d,f 2F,5/2,3d2.(3F).5p,4F*,5/2,,,u37,,6511.551,8.781332955673792,wn(cm-1)
Ti,2,1534.6591,0.0005,1534.6593,0.0004,6514.325,50,,,65214.1729,71728.4971,3d2.(3F).4d,4D,1/2,3d2.(3F).5p,4F*,3/2,,,u37,,6514.325,8.781758877130734,wn(cm-1)
Ti,2,1531.4396,0.0005,1531.4395,0.0003,6528.020,73,,,65598.8926,72126.9130,3d2.(3F).4d,f 2F,7/2,3d2.(3F).5p,4F*,9/2,,,u37,,6528.02,8.78385896036474,wn(cm-1)
Ti,2,1526.0288,0.0005,1526.0287,0.0003,6551.166,81,,,65274.8247,71825.9911,3d2.(3F).4d,4D,3/2,3d2.(3F).5p,4F*,5/2,,,u37,,6551.166,8.787398328053635,wn(cm-1)
Ti,2,1523.3482,0.0005,1523.3482,0.0003,6562.694,88,,,65397.7388,71960.4326,3d2.(3F).4d,4D,5/2,3d2.(3F).5p,4F*,7/2,,,u37,,6562.694,8.789156468367697,wn(cm-1)
Ti,2,1520.4684,0.0005,1520.4684,0.0003,6575.124,130,,,64886.6693,71461.7932,3d2.(3F).4d,e 4G,5/2,3d2.(3F).5p,4G*,5/2,,,u37,,6575.124,8.79104871618372,wn(cm-1)
Ti,2,1513.1394,0.0005,1513.1395,0.0003,6606.971,137,,,64979.2810,71586.2514,3d2.(3F).4d,e 4G,7/2,3d2.(3F).5p,4G*,7/2,,,u37,,6606.971,8.79588058273616,wn(cm-1)
Ti,2,1505.8115,0.0007,1505.8115,0.0003,6639.123,29,,,65186.8680,71825.9911,3d2.(3F).4d,e 4H,7/2,3d2.(3F).5p,4F*,5/2,,,u37,,6639.123,8.800735155434118,wn(cm-1)
Ti,2,1504.2599,0.0005,1504.2595,0.0003,6645.971,45,,,65314.4599,71960.4326,3d2.(3F).4d,f 2F,5/2,3d2.(3F).5p,4F*,7/2,,,u37,,6645.971,8.801766085378086,wn(cm-1)
Ti,2,1502.9655,0.0005,1502.96562,0.00025,6651.695,175,,,65095.9741,71747.6684,3d2.(3F).4d,e 4G,9/2,3d2.(3F).5p,4G*,9/2,,,u37,,6651.695,8.802626988389717,wn(cm-1)
Ti,2,1502.8970,0.0005,1502.8972,0.0003,6651.998,66,,,65308.4355,71960.4326,3d2.(3F).4d,e 4H,9/2,3d2.(3F).5p,4F*,7/2,,,u37,,6651.998,8.802672539651319,wn(cm-1)
Ti,2,1499.5730,0.0004,1499.57314,0.00025,6666.743,130,,,65460.1706,72126.9130,3d2.(3F).4d,4D,7/2,3d2.(3F).5p,4F*,9/2,,,u37,,6666.743,8.804886713802468,wn(cm-1)
Ti,2,1496.4780,0.0004,1496.47807,0.00025,6680.531,86,,,65446.3822,72126.9130,3d2.(3F).4d,e 4H,11/2,3d2.(3F).5p,4F*,9/2,,,u37,,6680.531,8.806952754389412,wn(cm-1)
Ti,2,1492.2217,0.0011,1492.2226,0.0003,6699.586,21,,,64886.6693,71586.2514,3d2.(3F).4d,e 4G,5/2,3d2.(3F).5p,4G*,7/2,,,u37,,6699.586,8.809801012425137,wn(cm-1)
Ti,2,1491.5834,0.0004,1491.5835,0.0003,6702.453,261,,,65243.6290,71946.0817,3d2.(3F).4d,e 4G,11/2,3d2.(3F).5p,4G*,11/2,,,u37,,6702.453,8.810228857776687,wn(cm-1)
Ti,2,1487.7413,0.0009,1487.7391,0.0009,6719.762,23,,,74908.058,81627.830,3d2.(1D).4d,2G,9/2,3d2.(3F).4f,4H*,7/2,,,u37,,6719.762,8.812808016223343,wn(cm-1)
Ti,2,1477.0530,0.0009,1477.05311,0.00024,6768.388,25,,,64979.2810,71747.6684,3d2.(3F).4d,e 4G,7/2,3d2.(3F).5p,4G*,9/2,,,u37,,6768.388,8.820018228248038,wn(cm-1)
Ti,2,1471.1704,0.0009,1471.1709,0.0003,6795.452,26,,,24961.1910,31756.6406,3d.4s2,c 2D,3/2,3d2.(3F).4p,z 2D*,3/2,,,u37,,6795.452,8.824008843872553,wn(cm-1)
Ti,2,1463.1645,0.0004,1463.1661,0.0003,6832.634,48,,,25192.9650,32025.5915,3d.4s2,c 2D,5/2,3d2.(3F).4p,z 2D*,5/2,,,u37,,6832.634,8.82946552975773,wn(cm-1)
Ti,2,1461.1981,0.0004,1461.1983,0.0003,6841.829,266,,,64886.6693,71728.4971,3d2.(3F).4d,e 4G,5/2,3d2.(3F).5p,4F*,3/2,,,u37,,6841.829,8.830810372533032,wn(cm-1)
Ti,2,1460.1562,0.0004,1460.15638,0.00023,6846.711,350,,,64979.2810,71825.9911,3d2.(3F).4d,e 4G,7/2,3d2.(3F).5p,4F*,5/2,,,u37,,6846.711,8.831523669963875,wn(cm-1)
Ti,2,1459.4317,0.0015,1459.4322,0.0003,6850.110,15,,,65095.9741,71946.0817,3d2.(3F).4d,e 4G,9/2,3d2.(3F).5p,4G*,11/2,,,u37,,6850.11,8.832019989521497,wn(cm-1)
Ti,2,1458.8586,0.0009,1458.85789,0.00023,6852.801,25,,,65598.8926,72451.6968,3d2.(3F).4d,f 2F,7/2,3d2.(3F).5p,4D*,5/2,,,u37,,6852.801,8.83241275278685,wn(cm-1)
Ti,2,1456.3810,0.0004,1456.3811,0.0003,6864.459,441,,,65095.9741,71960.4326,3d2.(3F).4d,e 4G,9/2,3d2.(3F).5p,4F*,7/2,,,u37,,6864.459,8.834112509561429,wn(cm-1)
Ti,2,1452.3979,0.0004,1452.39792,0.00023,6883.284,590,,,65243.6290,72126.9130,3d2.(3F).4d,e 4G,11/2,3d2.(3F).5p,4F*,9/2,,,u37,,6883.284,8.836851142625168,wn(cm-1)
Ti,2,1440.6692,0.0004,1440.6692,0.0003,6939.322,52,,,64886.6693,71825.9911,3d2.(3F).4d,e 4G,5/2,3d2.(3F).5p,4F*,5/2,,,u37,,6939.322,8.844959354203933,wn(cm-1)
Ti,2,1440.4317,0.0004,1440.43145,0.00025,6940.466,56,,,65397.7388,72338.2060,3d2.(3F).4d,4D,5/2,3d2.(3F).5p,4D*,3/2,,,u37,,6940.466,8.845124198220656,wn(cm-1)
Ti,2,1432.0367,0.0004,1432.03697,0.00025,6981.153,65,,,64979.2810,71960.4326,3d2.(3F).4d,e 4G,7/2,3d2.(3F).5p,4F*,7/2,,,u37,,6981.153,8.85096936836109,wn(cm-1)
Ti,2,1429.9118,0.0004,1429.91199,0.00023,6991.527,42,,,65460.1706,72451.6968,3d2.(3F).4d,4D,7/2,3d2.(3F).5p,4D*,5/2,,,u37,,6991.527,8.852454266305672,wn(cm-1)
Ti,2,1429.0536,0.0004,1429.0533,0.0003,6995.726,57,,,65274.8247,72270.5521,3d2.(3F).4d,4D,3/2,3d2.(3F).5p,4D*,1/2,,,u37,,6995.726,8.853054670134236,wn(cm-1)
Ti,2,1426.1270,0.0004,1426.12707,0.00024,7010.082,116,,,65598.8926,72608.9742,3d2.(3F).4d,f 2F,7/2,3d2.(3F).5p,4D*,7/2,,,u37,,7010.082,8.855104677535113,wn(cm-1)
Ti,2,1425.4848,0.0014,1425.4819,0.0006,7013.240,15,,,74910.8726,81924.127,3d2.(1D).4d,2G,7/2,3d2.(3F).4f,2H*,9/2,,,u37,,7013.24,8.855555070110194,wn(cm-1)
Ti,2,1423.3528,0.0008,1423.3526,0.0003,7023.745,27,,,65314.4599,72338.2060,3d2.(3F).4d,f 2F,5/2,3d2.(3F).5p,4D*,3/2,,,u37,,7023.745,8.857051830555715,wn(cm-1)
Ti,2,1421.8964,0.0004,1421.89645,0.00022,7030.939,48,,,65095.9741,72126.9130,3d2.(3F).4d,e 4G,9/2,3d2.(3F).5p,4F*,9/2,,,u37,,7030.939,8.858075546297496,wn(cm-1)
