k_low,k_high,ratio,rational,rational_error
29.06782713085234,56.49039615846338,1.9433993433415244,103/53,3.1169264300690003e-06
34.221488595438174,78.91836734693878,2.3061056250328873,113/49,1.6823946704658255e-05
56.49039615846338,62.598439375750296,1.1081253386885976,41/37,1.7230580489524527e-05
40.64765906362545,62.598439375750296,1.54002569441368,77/50,2.5694413680055206e-05
20.096638655462183,29.06782713085234,1.44640243720319,81/56,2.6134225381335696e-05
34.221488595438174,62.598439375750296,1.8292143897005946,75/41,5.390298233232116e-05
23.627851140456183,78.91836734693878,3.340056904786099,167/50,5.6904786099210014e-05
23.627851140456183,46.183073229291715,1.9546031907326489,43/22,5.773618719429052e-05
34.221488595438174,56.49039615846338,1.6507287811551752,104/63,6.486963847551763e-05
40.64765906362545,56.49039615846338,1.3897576750985692,82/59,7.283337600716422e-05
23.627851140456183,34.221488595438174,1.4483538258307083,42/29,7.796376174273867e-05
23.627851140456183,67.68847539015606,2.8647749212478404,106/37,8.99436170245238e-05
20.096638655462183,78.91836734693878,3.9269436396762347,161/41,0.00011437138355185894
46.183073229291715,62.598439375750296,1.3554411822045462,61/45,0.00011437335100938917
20.096638655462183,62.598439375750296,3.114871120934261,190/61,0.00011702257360557411
20.096638655462183,40.64765906362545,2.022609838415818,89/44,0.00011743431145472272
29.06782713085234,34.221488595438174,1.1772977884238132,73/62,0.00012156641489657893
67.68847539015606,72.36494597839136,1.06908813592388,31/29,0.00012261868250074137
20.096638655462183,56.49039615846338,2.81093754666826,104/37,0.00012673585744904514
46.183073229291715,67.68847539015606,1.4656555022679716,85/58,0.00013826088866131236
20.096638655462183,34.221488595438174,1.7028463904901288,63/37,0.00014368778742612776
34.221488595438174,72.36494597839136,2.1146054408643646,129/61,0.00014865749629100478
29.06782713085234,72.36494597839136,2.489520308918579,117/47,0.00015860679091916907
62.598439375750296,78.91836734693878,1.2607082242614276,29/23,0.0001613409559637624
34.221488595438174,67.68847539015606,1.9779523968217774,89/45,0.00017461904399951322
20.096638655462183,46.183073229291715,2.298049640094382,108/47,0.00017729966885005055
15.229291716686674,67.68847539015606,4.4446239949550685,40/9,0.0001795505106239048
40.64765906362545,46.183073229291715,1.1361803925043195,25/22,0.00018324385931700604
40.64765906362545,72.36494597839136,1.7802979961310712,73/41,0.00018980874697760441
15.229291716686674,78.91836734693878,5.18201166640391,57/11,0.00019348458572832072
23.627851140456183,72.36494597839136,3.0626968803983337,49/16,0.00019688039833365423
56.49039615846338,78.91836734693878,1.397022727997195,88/63,0.00019733117179820958
23.627851140456183,56.49039615846338,2.3908393455949595,153/64,0.00021434559495947525
23.627851140456183,62.598439375750296,2.64934965958744,151/57,0.00022685256989651847
62.598439375750296,67.68847539015606,1.081312506592258,40/37,0.0002314255111768304
62.598439375750296,72.36494597839136,1.1560183720238952,37/32,0.0002316279761047646
15.229291716686674,56.49039615846338,3.7093252404225128,204/55,0.0002343313316037765
56.49039615846338,72.36494597839136,1.2810132500292204,41/32,0.0002367499707796039
46.183073229291715,72.36494597839136,1.5669149088262437,47/30,0.0002482421595770834
15.229291716686674,23.627851140456183,1.5514740658994168,45/29,0.000250072031617643
15.229291716686674,46.183073229291715,3.032516159545956,94/31,0.00025809502982721
20.096638655462183,67.68847539015606,3.3681490994892624,64/19,0.00027195314231631684
20.096638655462183,23.627851140456183,1.1757115976225323,67/57,0.0002730011313041292
46.183073229291715,78.91836734693878,1.7088158459079037,94/55,0.0002750631830052974
34.221488595438174,40.64765906362545,1.1877817339904932,19/16,0.0002817339904932492
29.06782713085234,62.598439375750296,2.153530055547525,28/13,0.0003160982986285532
34.221488595438174,46.183073229291715,1.3495343167347797,85/63,0.00032796752843045063
23.627851140456183,40.64765906362545,1.7203282186769635,43/25,0.000328218676963532
40.64765906362545,78.91836734693878,1.9415230585212424,33/17,0.0003465879330071253
72.36494597839136,78.91836734693878,1.090560716655607,12/11,0.00034837425348377415
15.229291716686674,20.096638655462183,1.3196042881917074,33/25,0.0003957118082926758
15.229291716686674,29.06782713085234,1.908678858584266,21/11,0.000412050506643169
29.06782713085234,46.183073229291715,1.588803766493898,89/56,0.00048194779181609526
29.06782713085234,67.68847539015606,2.328638982385859,149/64,0.0005139823858590908
23.627851140456183,29.06782713085234,1.2302357483995527,16/13,0.0005334823696780955
29.06782713085234,78.91836734693878,2.7149730522229336,19/7,0.0006873379372192012
15.229291716686674,62.598439375750296,4.110397288349361,37/9,0.0007138227617495829
67.68847539015606,78.91836734693878,1.1659055236811537,7/6,0.000761142985512997
20.096638655462183,72.36494597839136,3.6008482422866708,18/5,0.0008482422866706862
46.183073229291715,56.49039615846338,1.223183998128436,71/58,0.0009539329060466173
15.229291716686674,34.221488595438174,2.2470833990225447,137/61,0.0011817596782823792
40.64765906362545,67.68847539015606,1.6652490438429393,5/3,0.0014176228237274824
56.49039615846338,67.68847539015606,1.1982297875957626,73/61,0.0015084761203527641
29.06782713085234,40.64765906362545,1.3983728085572098,88/63,0.0015474117318130531
15.229291716686674,72.36494597839136,4.7516947816490624,19/4,0.001694781649062449
15.229291716686674,40.64765906362545,2.6690446161122496,8/3,0.0023779494455831163
