element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 21,wavenumber_cm,ell,wavenumber_source
Fe,1,1747.8021,0.0009,1747.8016,0.0007,5719.909,158,,,53545.833,59265.744,3d7.(4F).4d,h 5D,3,3d7.(4F<7/2>).4f,2[7/2]*,4,,,L11631,,5719.909,8.651708175156383,wn(cm-1)
Fe,1,1747.3396,0.0024,1747.3397,0.0007,5721.423,14,,,51705.014,57426.437,3d6.(5D).4s (6D).4d,f 5F,2,3d6.4s.(6D<5/2>).4f,2[3/2]*,1,,,L11631,,5721.423,8.651972829657947,wn(cm-1)
Fe,2,1747.3169,0.0003,1747.3122,0.0005,5721.4978,0.9,2.0e+04,E,104569.226,110290.739,3d6.(3P2).4d,4F,5/2,3d6.(3F1).5p,4D*,5/2,,T6892c83,L18349c145,,5721.4978,8.651985903243146,wn(cm-1)
Fe,1,1746.9918,0.0009,1746.9919,0.0007,5722.562,85,,,51705.014,57427.576,3d6.(5D).4s (6D).4d,f 5F,2,3d6.4s.(6D<5/2>).4f,2[3/2]*,2,,,L11631,,5722.562,8.652171886193543,wn(cm-1)
Fe,1,1746.7614,0.0009,1746.7603,0.0004,5723.317,58,,,31322.613,37045.934,3d6.(5D).4s.4p.(3P*),z 3D*,3,3d7.(2F).4s,d 3F,4,,,L11631,,5723.317,8.652303811404547,wn(cm-1)
Fe,1,1746.7302,0.0009,1746.7300,0.0004,5723.419,95,,,41178.412,46901.832,3d8,3P,1,3d6.(3P2).4s.4p.(3P*),y 3P*,1,,,L11631,,5723.419,8.652321633078778,wn(cm-1)
Fe,1,1746.6445,0.0009,1746.6443,0.0007,5723.700,174,,,52019.669,57743.370,3d6.(5D).4s (6D).4d,e 5P,1,3d6.4s.(6D<1/2>).4f,2[5/2]*,2,,,L11631,,5723.7,8.652370728401374,wn(cm-1)
Fe,2,1746.27786,0.00008,1746.27756,0.00024,5724.9020,7,2.5e+06,D+,103804.125,109529.028,3d6.(3P2).4d,4D,1/2,3d6.(3P2).5p,4P*,1/2,,T6892c83,L18349c139,,5724.902,8.652580710371998,wn(cm-1)
Fe,1,1746.1310,0.0009,1746.1309,0.0016,5725.383,16,,,51207.998,56933.382,3d6.(5D).4s (6D).4d,e 7F,1,3d6.4s.(6D).6p,7D*,2,,,L11631,,5725.383,8.652664725748084,wn(cm-1)
Fe,1,1746.1002,0.0009,1746.1000,0.0010,5725.484,35,,,53545.833,59271.318,3d7.(4F).4d,h 5D,3,3d7.(4F<7/2>).4f,2[5/2]*,3,,,L11631,,5725.484,8.652682366333726,wn(cm-1)
Fe,2,1746.03982,0.00009,1746.0406,0.0003,5725.6825,7,,,106018.682,111744.362,3d6.(3H).4d,2H,9/2,3d6.(3F2).5p,2G*,7/2,,,L18349c139,,5725.6825,8.652717035290818,wn(cm-1)
Fe,1,1746.0011,0.0009,1745.9997,0.0007,5725.809,40,,,48531.865,54257.679,3d7.(4F).5s,e 3F,3,3d7.(4F).5p,5G*,2,,,L11631,,5725.809,8.652739128482786,wn(cm-1)
Fe,2,1745.92599,0.00018,1745.92715,0.00021,5726.0558,4,6.4e+05,C+,85172.826,90898.878,3d6.(5D).4d,f 4D,1/2,3d6.(5D).5p,4D*,3/2,,T6892c83,L18349c139,,5726.0558,8.652782230633282,wn(cm-1)
Fe,1,1745.8350,0.0009,1745.8348,0.0004,5726.354,20,,,46313.537,52039.892,3d7.(4P).4p,w 5P*,2,3d6.(5D).4s (4D).5s,e 3D,1,,,L11631,,5726.354,8.652834307009394,wn(cm-1)
Fe,1,1745.7587,0.0009,1745.7579,0.0007,5726.604,71,,,48036.673,53763.280,3d7.(4F).5s,e 5F,2,3d7.(2D2).4p,x 1F*,3,,,L11631,,5726.604,8.652877963853335,wn(cm-1)
Fe,1,1745.4780,0.0009,1745.4778,0.0004,5727.525,6,,,26406.465,32133.991,3d7.(2D2).4s,a 3D,1,3d6.(5D).4s.4p.(3P*),z 3F*,2,,,L11631,,5727.525,8.653038779224278,wn(cm-1)
Fe,1,1745.3842,0.0009,1745.3840,0.0004,5727.833,93,,,51705.014,57432.848,3d6.(5D).4s (6D).4d,f 5F,2,3d6.4s.(6D<5/2>).4f,2[5/2]*,3,,,L11631,,5727.833,8.653092553187532,wn(cm-1)
Fe,2,1745.1608,0.0006,1745.1603,0.0003,5728.5663,0.18bl(Fe II)*,1.1e+05,E,104839.990,110568.558,3d6.(3F2).4d,4P,3/2,3d6.(3F2).5p,4F*,5/2,,T6892c83,L18349c148,,5728.5663,8.653220568977101,wn(cm-1)
