"k_low","k_high","ratio","rational","rational_error"
6.70348139255702,62.7893157262905,9.36667263610315,"281/30",5.96943648467629e-06
67.0840336134454,78.8229291716687,1.17498792076019,"47/40",1.20792398132785e-05
14.9429771908764,19.4603841536615,1.30230970074312,"56/43",1.58806522276844e-05
19.4603841536615,28.9405762304922,1.48715338823602,"58/39",2.60989434675007e-05
14.9429771908764,67.0840336134454,4.48933520787307,"211/47",2.64942545928903e-05
6.70348139255702,14.9429771908764,2.22913681948424,"107/48",2.98471824256019e-05
40.6794717887155,67.0840336134454,1.64908811898719,"94/57",3.46880303514485e-05
40.6794717887155,62.7893157262905,1.54351354541699,"71/46",3.52845474214103e-05
62.7893157262905,78.8229291716687,1.25535576013077,"59/47",3.6611194604852e-05
28.9405762304922,56.7448979591837,1.96073835943171,"100/51",4.59542937778501e-05
14.9429771908764,23.2142857142857,1.55352480417755,"87/56",4.66243938828104e-05
23.2142857142857,56.7448979591837,2.4443956043956,"22/9",4.88400488403151e-05
6.70348139255702,23.2142857142857,3.46301934097421,"187/54",5.63780112496914e-05
23.2142857142857,34.1896758703481,1.47278603749192,"81/55",5.87647646470568e-05
19.4603841536615,23.2142857142857,1.19289966379816,"68/57",8.27923421953258e-05
14.9429771908764,78.8229291716687,5.27491464149428,"211/40",8.53585057249973e-05
14.9429771908764,40.6794717887155,2.72231371761398,"49/18",9.14953917563466e-05
34.1896758703481,78.8229291716687,2.30545997191011,"83/36",9.55836454430425e-05
23.2142857142857,78.8229291716687,3.39544925662573,"146/43",0.000100419416424469
28.9405762304922,46.0876350540216,1.59249196308203,"43/27",0.00010062951056411
28.9405762304922,62.7893157262905,2.16959452452556,"128/59",0.0001029991018342
19.4603841536615,62.7893157262905,3.22651984824651,"171/53",0.000104753906884358
6.70348139255702,78.8229291716687,11.7585064469914,"341/29",0.000114242663768138
14.9429771908764,34.1896758703481,2.28800964049006,"135/59",0.000125952730280599
6.70348139255702,56.7448979591837,8.46498925501433,"364/43",0.000127024055441183
19.4603841536615,34.1896758703481,1.75688596897073,"65/37",0.000129212213971996
34.1896758703481,56.7448979591837,1.65970856741573,"78/47",0.000134099330624027
34.1896758703481,62.7893157262905,1.83649929775281,"101/55",0.000135661389172537
56.7448979591837,62.7893157262905,1.10651914065392,"52/47",0.000136161930519574
19.4603841536615,46.0876350540216,2.36827981863607,"45/19",0.000141233995509804
23.2142857142857,62.7893157262905,2.70477052359405,"165/61",0.000147509192832462
34.1896758703481,67.0840336134454,1.96211376404494,"104/53",0.000150386898452703
19.4603841536615,67.0840336134454,3.4472101415749,"131/38",0.000158279477726619
40.6794717887155,78.8229291716687,1.93765862007909,"31/16",0.000158620079088845
34.1896758703481,40.6794717887155,1.18981741573034,"69/58",0.000162243316543798
34.1896758703481,46.0876350540216,1.34799859550562,"31/23",0.000172508549096007
6.70348139255702,28.9405762304922,4.31724570200573,"177/41",0.000172531274023058
6.70348139255702,46.0876350540216,6.87517908309456,"55/8",0.000179083094555388
56.7448979591837,78.8229291716687,1.38907517691486,"25/18",0.000186288025969761
28.9405762304922,67.0840336134454,2.31799232603961,"51/22",0.000189492142204095
40.6794717887155,56.7448979591837,1.3949271085404,"53/38",0.000190266435137199
6.70348139255702,19.4603841536615,2.90302650429799,"90/31",0.000199302153618408
28.9405762304922,78.8229291716687,2.72361298351136,"128/47",0.000208728192206742
28.9405762304922,40.6794717887155,1.40562065747174,"52/37",0.000215252066335658
62.7893157262905,67.0840336134454,1.06839886432074,"47/44",0.000217046138925037
14.9429771908764,28.9405762304922,1.93673428399277,"122/63",0.000226347484832967
6.70348139255702,40.6794717887155,6.06840974212034,"267/44",0.000227923938525443
46.0876350540216,78.8229291716687,1.71028366023287,"65/38",0.00024265555660663
6.70348139255702,34.1896758703481,5.10028653295129,"51/10",0.000286532951290219
46.0876350540216,62.7893157262905,1.36238962256779,"79/58",0.000320657050548068
56.7448979591837,67.0840336134454,1.18220379322382,"13/11",0.000385611405635089
40.6794717887155,46.0876350540216,1.13294575931063,"17/15",0.000387574022703507
19.4603841536615,78.8229291716687,4.05043027667253,"239/59",0.000417180954592311
28.9405762304922,34.1896758703481,1.1813750907394,"13/11",0.000443091078785374
46.0876350540216,56.7448979591837,1.23123909249564,"16/13",0.000469861726406284
14.9429771908764,46.0876350540216,3.08423378188391,"182/59",0.000511980827952563
19.4603841536615,40.6794717887155,2.09037352333364,"23/11",0.00053556757544948
14.9429771908764,56.7448979591837,3.79742920265113,"243/64",0.000554202651134705
46.0876350540216,67.0840336134454,1.45557552551379,"83/57",0.000564825363400745
19.4603841536615,56.7448979591837,2.91591869467321,"172/59",0.000664457385070261
23.2142857142857,28.9405762304922,1.24667097608274,"76/61",0.000769336738478232
23.2142857142857,67.0840336134454,2.88977375565611,"185/64",0.000851244343891722
23.2142857142857,46.0876350540216,1.98531351001939,"127/64",0.000938510019392158
14.9429771908764,62.7893157262905,4.20192809801165,"269/64",0.00119690198835087
23.2142857142857,40.6794717887155,1.75234647705236,"107/61",0.00175188360337852
6.70348139255702,67.0840336134454,10.0073424068768,"10/1",0.00734240687678955
