"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Mn","2","","","1952.271","0.003","5120.842","","","","9472.993","14593.835","3d5.(6S).4s","a 5S","2","3d6","a 5D","3","M1+E2","","","",5120.842,8.54107415763762,"wn(cm-1)"
"Mn","2","","","1883.359","0.003","5308.212","","","","9472.993","14781.205","3d5.(6S).4s","a 5S","2","3d6","a 5D","2","M1+E2","","","",5308.212,8.57701033436817,"wn(cm-1)"
"Mn","2","","","1841.725","0.003","5428.210","","","","9472.993","14901.203","3d5.(6S).4s","a 5S","2","3d6","a 5D","1","M1+E2","","","",5428.21,8.59936470848936,"wn(cm-1)"
"Mn","2","","","1822.031","0.005","5486.883","","","","9472.993","14959.876","3d5.(6S).4s","a 5S","2","3d6","a 5D","0","E2","","","",5486.883,8.61011561370424,"wn(cm-1)"
"Mn","2","","","1055.3434","0.0008","9472.993","","","","0.000","9472.993","3d5.(6S).4s","a 7S","3","3d5.(6S).4s","a 5S","2","M1+E2","","","",9472.993,9.156200186933,"wn(cm-1)"
"Mn","2","990.726","0.035","990.716","0.020","10090.8","20*","","","98465.345","108556.29","3d5.(6S).4f","5F*","5","3d5.(6S).5g","5G","4","","","L562","",10090.8,9.21937939662685,"wn(cm-1)"
"Mn","2","990.624","0.035","990.616","0.014","10091.9","15*","7.e+05","D","98464.323","108556.29","3d5.(6S).4f","5F*","4","3d5.(6S).5g","5G","3","","c88","L562","",10091.9,9.21948840087317,"wn(cm-1)"
"Mn","2","990.525","0.035","990.522","0.020","10092.9","10*","4.9e+07","C","98463.366","108556.29","3d5.(6S).4f","5F*","3","3d5.(6S).5g","5G","4","","c88","L562","",10092.9,9.21958748533285,"wn(cm-1)"
"Mn","2","990.438","0.035","990.4428","0.0019","10093.8","5*","1.3e+07","C","98462.563","108556.29","3d5.(6S).4f","5F*","2","3d5.(6S).5g","5G","2","","c88","L562","",10093.8,9.21967665295317,"wn(cm-1)"
"Mn","2","990.385","0.0015","990.3853","0.0015","10094.3","1","4.6e+07","C","98461.977","108556.29","3d5.(6S).4f","5F*","1","3d5.(6S).5g","5G","2","","c88","L562","",10094.3,9.21972618708467,"wn(cm-1)"
"Mn","2","986.671","0.0015","986.6712","0.0015","10132.3","100","","","98423.59","108555.90","3d5.(6S).4f","7F*","5","3d5.(6S).5g","7G","4 or 5 or 6","","","L562","",10132.3,9.22348361984232,"wn(cm-1)"
"Mn","2","982.658","0.035","982.663","0.010","10173.7","1H","","","99895.291","110068.93","3d5.(6S).5d","7D","3","3d4.4s.4p","u 5D*","2","","","L562","",10173.7,9.2275612380205,"wn(cm-1)"
"Mn","2","982.412","0.035","982.392","0.010","10176.2","1H","","","99892.486","110068.93","3d5.(6S).5d","7D","2","3d4.4s.4p","u 5D*","2","","","L562","",10176.2,9.22780693947482,"wn(cm-1)"
"Mn","2","950.0356","0.0006","950.0351","0.0005","10523.04","60","3.3e+07","C","76374.791","86897.831","3d5.(6S).5s","e 5S","2","3d4.(5D).4s.4p.(3P*)","w 5P*","3","","c88","L562","",10523.04,9.26132241793096,"wn(cm-1)"
"Mn","2","946.514","0.0015","946.5137","0.0007","10562.19","50","3.3e+07","C","76374.791","86936.981","3d5.(6S).5s","e 5S","2","3d4.(5D).4s.4p.(3P*)","w 5P*","2","","c88","L562","",10562.19,9.26503592212231,"wn(cm-1)"
"Mn","2","944.703","0.035","944.6849","0.0018","10582.4","10H","","","32787.90","43370.537","3d5.(4D).4s","b 5D","4","3d5.(6S).4p","z 5P*","3","","","L562","",10582.4,9.26694752278747,"wn(cm-1)"
"Mn","2","944.3548","0.0006","944.3553","0.0005","10586.34","50","3.4e+07","C","76374.791","86961.122","3d5.(6S).5s","e 5S","2","3d4.(5D).4s.4p.(3P*)","w 5P*","1","","c88","L562","",10586.34,9.26731976979372,"wn(cm-1)"
