"element","sp_num","obs_wl_air(nm)","unc_obs_wl","ritz_wl_air(nm)","unc_ritz_wl","wn(cm-1)","intens","Aki(s^-1)","Acc","Ei(cm-1)","Ek(cm-1)","conf_i","term_i","J_i","conf_k","term_k","J_k","Type","tp_ref","line_ref","","wavenumber_cm","ell","wavenumber_source"
"Ni","2","","","1938.77","","5156.49","","8.7e-02","D","8393.90","13550.39","3p6.3d8.(3F).4s","4F","9/2","3p6.3d8.(3F).4s","2F","7/2","M1","T4240","","",5156.49,8.54801139445433,"wn(cm-1)"
"Ni","2","","","1895.31","","5274.75","","7.3e-02","E","23796.18","29070.93","3p6.3d8.(1D).4s","2D","3/2","3p6.3d8.(3P).4s","2P","3/2","M1","T4240","","",5274.75,8.57068656385624,"wn(cm-1)"
"Ni","2","","","1764.578","","5665.53","","2.8e-03","D","9330.04","14995.57","3p6.3d8.(3F).4s","4F","7/2","3p6.3d8.(3F).4s","2F","5/2","M1","T4240","","",5665.53,8.64215572601444,"wn(cm-1)"
"Ni","2","","","1724.476","","5797.28","","7.7e-02","E","23796.18","29593.46","3p6.3d8.(1D).4s","2D","3/2","3p6.3d8.(3P).4s","2P","1/2","M1","T4240","","",5797.28,8.66514412101855,"wn(cm-1)"
"Ni","2","","","1676.649","","5962.65","","8.0e-02","D","23108.28","29070.93","3p6.3d8.(3P).4s","4P","5/2","3p6.3d8.(3P).4s","2P","3/2","M1","T4240","","",5962.65,8.69327029211286,"wn(cm-1)"
"Ni","2","","","1339.550","","7463.15","","9.8e-05","E","25036.38","32499.53","3p6.3d8.(1D).4s","2D","5/2","3p6.3d8.(1G).4s","2G","9/2","E2","T4240","","",7463.15,8.91773285608524,"wn(cm-1)"
"Ni","2","","","1335.255","","7487.16","","2.3e-06","E","25036.38","32523.54","3p6.3d8.(1D).4s","2D","5/2","3p6.3d8.(1G).4s","2G","7/2","M1","T4240","","",7487.16,8.92094483237766,"wn(cm-1)"
"Ni","2","","","1292.414","","7735.34","","3.7e-05","E","24788.20","32523.54","3p6.3d8.(3P).4s","4P","3/2","3p6.3d8.(1G).4s","2G","7/2","E2","T4240","","",7735.34,8.95355471808508,"wn(cm-1)"
"Ni","2","","","1277.916","","7823.10","","2.1e-05","E","1506.94","9330.04","3p6.3d9","2D","3/2","3p6.3d8.(3F).4s","4F","7/2","E2","T4240","","",7823.1,8.96483617442327,"wn(cm-1)"
"Ni","2","","","1232.297","","8112.71","","8.2e-02","E","14995.57","23108.28","3p6.3d8.(3F).4s","2F","5/2","3p6.3d8.(3P).4s","4P","5/2","M1","T4240","","",8112.71,9.00118724665574,"wn(cm-1)"
"Ni","2","","","1161.295","","8608.72","","9.3e-04","E","1506.94","10115.66","3p6.3d9","2D","3/2","3p6.3d8.(3F).4s","4F","5/2","M1","T4240","","",8608.72,9.06053092202635,"wn(cm-1)"
"Ni","2","","","1145.508","","8727.36","","3.2e-04","E","23796.18","32523.54","3p6.3d8.(1D).4s","2D","3/2","3p6.3d8.(1G).4s","2G","7/2","E2","T4240","","",8727.36,9.0742181976016,"wn(cm-1)"
"Ni","2","","","1135.974","","8800.61","","5.7e-02","E","14995.57","23796.18","3p6.3d8.(3F).4s","2F","5/2","3p6.3d8.(1D).4s","2D","3/2","M1","T4240","","",8800.61,9.08257631624572,"wn(cm-1)"
"Ni","2","","","1091.768","","9156.95","","7.7e-04","E","1506.94","10663.89","3p6.3d9","2D","3/2","3p6.3d8.(3F).4s","4F","3/2","M1","T4240","","",9156.95,9.12226843278923,"wn(cm-1)"
"Ni","2","","","1071.513","","9330.04","","6.4e-04","E","0.00","9330.04","3p6.3d9","2D","5/2","3p6.3d8.(3F).4s","4F","7/2","M1","T4240","","",9330.04,9.14099458107764,"wn(cm-1)"
"Ni","2","","","1064.529","","9391.25","","2.9e-04","E","23108.28","32499.53","3p6.3d8.(3P).4s","4P","5/2","3p6.3d8.(1G).4s","2G","9/2","E2","T4240","","",9391.25,9.14753368368337,"wn(cm-1)"
"Ni","2","","","1061.815","","9415.26","","8.0e-06","E","23108.28","32523.54","3p6.3d8.(3P).4s","4P","5/2","3p6.3d8.(1G).4s","2G","7/2","M1","T4240","","",9415.26,9.15008705621712,"wn(cm-1)"
"Ni","2","","","1045.969","","9557.89","","7.6e-02","E","13550.39","23108.28","3p6.3d8.(3F).4s","2F","7/2","3p6.3d8.(3P).4s","4P","5/2","M1","T4240","","",9557.89,9.16512227038805,"wn(cm-1)"
"Ni","2","","","1020.896","","9792.63","","6.8e-03","E","14995.57","24788.20","3p6.3d8.(3F).4s","2F","5/2","3p6.3d8.(3P).4s","4P","3/2","M1","T4240","","",9792.63,9.18938534091779,"wn(cm-1)"
