"analysis_id","species","ion","source_field","bins","spectral_range","transform","baseline_sigma","poly_degree","k_min","k_max","n_k","null_n","bootstrap_n","seed","filter_settings","duplicate_rule","min_lines_rule","run_purpose","confirmatory","output_path","software","timestamp","git_commit","searched_family"
"fe_ion2_wn_bin120_confirm","Fe",2,"wavenumber",120,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","canonical Fe II bin-stability claim","confirmatory","outputs_r/statistical_audit/fe_ion2_wn_bin120_confirm","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",FALSE
"fe_ion2_wn_bin160_confirm","Fe",2,"wavenumber",160,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","canonical Fe II bin-stability claim","confirmatory","outputs_r/statistical_audit/fe_ion2_wn_bin160_confirm","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",FALSE
"fe_ion2_wn_bin200_confirm","Fe",2,"wavenumber",200,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","canonical Fe II bin-stability claim","confirmatory","outputs_r/statistical_audit/fe_ion2_wn_bin200_confirm","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",FALSE
"fe_ion2_wn_bingrid60","Fe",2,"wavenumber",60,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","bin-stability grid","exploratory","outputs_r/statistical_audit/fe_ion2_wn_bingrid60","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_bingrid80","Fe",2,"wavenumber",80,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","bin-stability grid","exploratory","outputs_r/statistical_audit/fe_ion2_wn_bingrid80","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_bingrid100","Fe",2,"wavenumber",100,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","bin-stability grid","exploratory","outputs_r/statistical_audit/fe_ion2_wn_bingrid100","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_bingrid120","Fe",2,"wavenumber",120,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","bin-stability grid","exploratory","outputs_r/statistical_audit/fe_ion2_wn_bingrid120","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_bingrid140","Fe",2,"wavenumber",140,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","bin-stability grid","exploratory","outputs_r/statistical_audit/fe_ion2_wn_bingrid140","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_bingrid160","Fe",2,"wavenumber",160,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","bin-stability grid","exploratory","outputs_r/statistical_audit/fe_ion2_wn_bingrid160","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_bingrid180","Fe",2,"wavenumber",180,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","bin-stability grid","exploratory","outputs_r/statistical_audit/fe_ion2_wn_bingrid180","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_bingrid200","Fe",2,"wavenumber",200,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","bin-stability grid","exploratory","outputs_r/statistical_audit/fe_ion2_wn_bingrid200","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_bingrid220","Fe",2,"wavenumber",220,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","bin-stability grid","exploratory","outputs_r/statistical_audit/fe_ion2_wn_bingrid220","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_bingrid240","Fe",2,"wavenumber",240,"full","log_wavenumber",6,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","bin-stability grid","exploratory","outputs_r/statistical_audit/fe_ion2_wn_bingrid240","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_sig4_deg0_bin160","Fe",2,"wavenumber",160,"full","log_wavenumber",4,0,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","model sensitivity (baseline sigma x degree)","exploratory","outputs_r/statistical_audit/fe_ion2_wn_sig4_deg0_bin160","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_sig4_deg1_bin160","Fe",2,"wavenumber",160,"full","log_wavenumber",4,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","model sensitivity (baseline sigma x degree)","exploratory","outputs_r/statistical_audit/fe_ion2_wn_sig4_deg1_bin160","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_sig4_deg2_bin160","Fe",2,"wavenumber",160,"full","log_wavenumber",4,2,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","model sensitivity (baseline sigma x degree)","exploratory","outputs_r/statistical_audit/fe_ion2_wn_sig4_deg2_bin160","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_sig5_deg0_bin160","Fe",2,"wavenumber",160,"full","log_wavenumber",5,0,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","model sensitivity (baseline sigma x degree)","exploratory","outputs_r/statistical_audit/fe_ion2_wn_sig5_deg0_bin160","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_sig5_deg1_bin160","Fe",2,"wavenumber",160,"full","log_wavenumber",5,1,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","model sensitivity (baseline sigma x degree)","exploratory","outputs_r/statistical_audit/fe_ion2_wn_sig5_deg1_bin160","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_sig5_deg2_bin160","Fe",2,"wavenumber",160,"full","log_wavenumber",5,2,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","model sensitivity (baseline sigma x degree)","exploratory","outputs_r/statistical_audit/fe_ion2_wn_sig5_deg2_bin160","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
"fe_ion2_wn_sig6_deg0_bin160","Fe",2,"wavenumber",160,"full","log_wavenumber",6,0,0.5,80,2500,5000,2000,20260517,"element==Fe & sp_num==2","drop duplicate wavenumber, keep first after sort",">= 100 unique lines","model sensitivity (baseline sigma x degree)","exploratory","outputs_r/statistical_audit/fe_ion2_wn_sig6_deg0_bin160","R/nist_scan_lib.R (canonical reproduction)","2026-06-22T23:22:30+0000","cc15638",TRUE
