"draw","k_best","deltaD","amplitude","phase","delta_log_x","scale_ratio","converged","boundary","in_region"
1,31.1674669867947,271.779166740996,0.242075296838119,0.829857398539078,0.201594351887553,1.22335165715567,TRUE,FALSE,TRUE
2,31.3265306122449,291.098207283045,0.251103432750261,-0.643278356190908,0.200570736190098,1.22210005588453,TRUE,FALSE,TRUE
3,31.2310924369748,350.292117885404,0.27481946816395,0.112926912826274,0.20118365439375,1.22284933285476,TRUE,FALSE,TRUE
4,31.1356542617047,329.507479622766,0.266629790219672,1.12167663290701,0.201800330077136,1.22360366686859,TRUE,FALSE,TRUE
5,31.2629051620648,231.324742731204,0.223331386181013,-0.082905926651177,0.200978932527479,1.22259901448086,TRUE,FALSE,TRUE
6,31.421968787515,294.088817711072,0.252183004305814,-1.63785171200073,0.199961541228317,1.22135578541362,TRUE,FALSE,TRUE
7,31.1674669867947,312.470481201638,0.259707681799771,0.784571875093192,0.201594351887553,1.22335165715567,TRUE,FALSE,TRUE
8,31.390156062425,295.763801265119,0.252763500185084,-1.36755078074456,0.200164194618349,1.22160332238523,TRUE,FALSE,TRUE
9,31.2947178871549,328.113765361856,0.266583615342826,-0.320515524831712,0.200774626882275,1.22234925611478,TRUE,FALSE,TRUE
10,31.2310924369748,278.328529685378,0.244827414085051,0.168502305557398,0.20118365439375,1.22284933285476,TRUE,FALSE,TRUE
11,31.2310924369748,323.783918169445,0.264559570709164,0.242529300462252,0.20118365439375,1.22284933285476,TRUE,FALSE,TRUE
12,31.1356542617047,354.55276983111,0.277105675418524,1.18558266039805,0.201800330077136,1.22360366686859,TRUE,FALSE,TRUE
13,31.2947178871549,318.799544527166,0.262518510518372,-0.406484253048914,0.200774626882275,1.22234925611478,TRUE,FALSE,TRUE
14,31.3583433373349,386.136411522094,0.289213318648297,-1.09437651948748,0.200367259188048,1.22185141192648,TRUE,FALSE,TRUE
15,31.1674669867947,276.395934086121,0.244111455497801,0.800883643819962,0.201594351887553,1.22335165715567,TRUE,FALSE,TRUE
16,31.390156062425,298.717484973255,0.254142509361613,-1.37724317737043,0.200164194618349,1.22160332238523,TRUE,FALSE,TRUE
17,31.3265306122449,321.482593116244,0.263795517575877,-0.712899867399762,0.200570736190098,1.22210005588453,TRUE,FALSE,TRUE
18,31.3265306122449,304.42308667612,0.256632436910552,-0.69063111937942,0.200570736190098,1.22210005588453,TRUE,FALSE,TRUE
19,31.2947178871549,269.625728987649,0.24144864601937,-0.349299455781822,0.200774626882275,1.22234925611478,TRUE,FALSE,TRUE
20,31.2310924369748,325.004169286392,0.265099729099499,0.189406565749141,0.20118365439375,1.22284933285476,TRUE,FALSE,TRUE
21,31.3265306122449,301.561338217535,0.255127895685034,-0.757099658875994,0.200570736190098,1.22210005588453,TRUE,FALSE,TRUE
22,31.2629051620648,316.423158230505,0.261382324654871,-0.138200299519153,0.200978932527479,1.22259901448086,TRUE,FALSE,TRUE
23,31.3583433373349,323.692894473869,0.265051309604532,-0.938154385771925,0.200367259188048,1.22185141192648,TRUE,FALSE,TRUE
24,31.3265306122449,341.721166845483,0.271886758494817,-0.767943400391012,0.200570736190098,1.22210005588453,TRUE,FALSE,TRUE
25,31.2947178871549,307.820462751281,0.258105701009498,-0.366737230345649,0.200774626882275,1.22234925611478,TRUE,FALSE,TRUE
26,31.2947178871549,319.93332770139,0.262998863171738,-0.397043359380671,0.200774626882275,1.22234925611478,TRUE,FALSE,TRUE
27,31.1992797118848,312.766830417966,0.260154357209566,0.567196714487416,0.201388793754304,1.22310021311678,TRUE,FALSE,TRUE
28,31.2310924369748,337.127884210649,0.269874625432935,0.176714055734918,0.20118365439375,1.22284933285476,TRUE,FALSE,TRUE
29,31.3265306122449,304.907208098512,0.256862134444387,-0.670818466512697,0.200570736190098,1.22210005588453,TRUE,FALSE,TRUE
30,31.421968787515,362.109129273901,0.280132391050231,-1.67619838680174,0.199961541228317,1.22135578541362,TRUE,FALSE,TRUE
31,31.2947178871549,315.063314507808,0.261199506606095,-0.367554494276848,0.200774626882275,1.22234925611478,TRUE,FALSE,TRUE
32,31.390156062425,302.598471343736,0.25558699397958,-1.38760818784139,0.200164194618349,1.22160332238523,TRUE,FALSE,TRUE
33,31.453781512605,322.687038955867,0.263866641554025,-2.06599908881499,0.199759297770337,1.22110879917268,TRUE,FALSE,TRUE
34,31.4855942376951,280.659528345977,0.24645252817552,-2.22608965719614,0.199557463001834,1.22086236183153,TRUE,FALSE,TRUE
35,31.3265306122449,325.799755649681,0.265357146722958,-0.734644905139786,0.200570736190098,1.22210005588453,TRUE,FALSE,TRUE
36,31.3583433373349,339.870456235919,0.271000921559088,-1.121084083514,0.200367259188048,1.22185141192648,TRUE,FALSE,TRUE
