"sigma","degree","bins","source","k_best","deltaD","amplitude","global_p","in_reference_region","converged","n_lines","spec_null_n","spec_id"
7,1,120,"wavenumber",9.72569027611044,377.549280874837,0.314799960165075,0.00199600798403194,FALSE,TRUE,9447,500,"sig7_deg1_bin120_wavenumber"
7,0,120,"wavenumber",9.75750300120048,381.832625700486,0.311679481156615,0.00199600798403194,FALSE,TRUE,9447,500,"sig7_deg0_bin120_wavenumber"
8,2,120,"wavenumber",9.63025210084034,497.11296063639,0.363102113637611,0.00199600798403194,FALSE,TRUE,9447,500,"sig8_deg2_bin120_wavenumber"
8,1,120,"wavenumber",9.69387755102041,508.250627700088,0.364117658509001,0.00199600798403194,FALSE,TRUE,9447,500,"sig8_deg1_bin120_wavenumber"
8,0,120,"wavenumber",9.72569027611044,517.388433563542,0.361552396396774,0.00199600798403194,FALSE,TRUE,9447,500,"sig8_deg0_bin120_wavenumber"
4,0,200,"wavenumber",31.3583433373349,120.022205448983,0.16116250830519,0.00199600798403194,TRUE,TRUE,9447,500,"sig4_deg0_bin200_wavenumber"
4,1,200,"wavenumber",31.3583433373349,120.276693357547,0.161470076000754,0.00199600798403194,TRUE,TRUE,9447,500,"sig4_deg1_bin200_wavenumber"
4,2,200,"wavenumber",31.3583433373349,120.317384883968,0.161733798706019,0.00199600798403194,TRUE,TRUE,9447,500,"sig4_deg2_bin200_wavenumber"
4,0,160,"wavenumber",31.3583433373349,191.523785068614,0.203451054945692,0.00199600798403194,TRUE,TRUE,9447,500,"sig4_deg0_bin160_wavenumber"
4,1,160,"wavenumber",31.3583433373349,191.874169361293,0.20376319815596,0.00199600798403194,TRUE,TRUE,9447,500,"sig4_deg1_bin160_wavenumber"
4,2,160,"wavenumber",31.3583433373349,192.328355519125,0.204255547193865,0.00199600798403194,TRUE,TRUE,9447,500,"sig4_deg2_bin160_wavenumber"
5,0,200,"wavenumber",31.3265306122449,194.465004004777,0.205031374017348,0.00199600798403194,TRUE,TRUE,9447,500,"sig5_deg0_bin200_wavenumber"
5,1,200,"wavenumber",31.3265306122449,194.861685671457,0.205367807242324,0.00199600798403194,TRUE,TRUE,9447,500,"sig5_deg1_bin200_wavenumber"
5,2,200,"wavenumber",31.3265306122449,195.016893114809,0.205715675790948,0.00199600798403194,TRUE,TRUE,9447,500,"sig5_deg2_bin200_wavenumber"
